experiment_id,timestamp,model,features,preprocessing,hyperparameters,seed,validation_strategy,train_rmse,validation_rmse,train_mae,validation_mae,validation_rmse_std,fit_seconds,notes
exp_0001,2026-09-16T04:49:57+00:00,mean|ordinal,"[""model_decomp"",""cpu_decomp"",""structural_zeros"",""resolution""]",ordinal,{},42,"KFold(5,seed=42)",578.0703,578.063,458.2487,458.2549,5.5594,5.12,"exp01 baseline sweep, base feature families"
exp_0002,2026-09-16T04:50:02+00:00,median|ordinal,"[""model_decomp"",""cpu_decomp"",""structural_zeros"",""resolution""]",ordinal,{},42,"KFold(5,seed=42)",581.677,581.657,455.4543,455.4574,6.0632,5.57,"exp01 baseline sweep, base feature families"
exp_0003,2026-09-16T04:50:10+00:00,linear|onehot,"[""model_decomp"",""cpu_decomp"",""structural_zeros"",""resolution""]",onehot,{},42,"KFold(5,seed=42)",216.9592,217.2477,143.6355,144.0652,14.4245,7.49,"exp01 baseline sweep, base feature families"
exp_0004,2026-09-16T04:50:16+00:00,ridge|onehot,"[""model_decomp"",""cpu_decomp"",""structural_zeros"",""resolution""]",onehot,"{""alpha"":10.0}",42,"KFold(5,seed=42)",216.9619,217.2403,143.629,144.0522,14.4298,6.55,"exp01 baseline sweep, base feature families"
exp_0005,2026-09-16T04:50:23+00:00,ridge|onehot,"[""model_decomp"",""cpu_decomp"",""structural_zeros"",""resolution""]",onehot,"{""alpha"":100.0}",42,"KFold(5,seed=42)",217.0306,217.2535,143.648,144.0334,14.4274,6.59,"exp01 baseline sweep, base feature families"
exp_0006,2026-09-16T04:50:43+00:00,lasso|onehot,"[""model_decomp"",""cpu_decomp"",""structural_zeros"",""resolution""]",onehot,"{""alpha"":1.0,""max_iter"":3000,""tol"":0.001}",42,"KFold(5,seed=42)",218.2853,218.1998,144.7567,144.9213,14.3154,19.79,"exp01 baseline sweep, base feature families"
exp_0007,2026-09-16T04:50:57+00:00,elasticnet|onehot,"[""model_decomp"",""cpu_decomp"",""structural_zeros"",""resolution""]",onehot,"{""alpha"":1.0,""l1_ratio"":0.5,""max_iter"":3000,""tol"":0.001}",42,"KFold(5,seed=42)",274.9444,274.9647,197.0696,197.1722,9.4331,13.69,"exp01 baseline sweep, base feature families"
exp_0008,2026-09-16T04:51:05+00:00,tree|ordinal,"[""model_decomp"",""cpu_decomp"",""structural_zeros"",""resolution""]",ordinal,"{""max_depth"":12,""min_samples_leaf"":50}",42,"KFold(5,seed=42)",247.9767,262.0353,174.8481,185.349,10.9814,8.28,"exp01 baseline sweep, base feature families"
exp_0009,2026-09-16T04:52:15+00:00,ridge|onehot,"[""model_decomp"",""cpu_decomp"",""structural_zeros"",""resolution""]",onehot,"{""alpha"":1.0}",42,"KFold(5,seed=42)",216.9593,217.2466,143.6345,144.0635,14.4252,41.12,exp04 additive specification scan
exp_0010,2026-09-16T04:52:35+00:00,rf|ordinal,"[""model_decomp"",""cpu_decomp"",""structural_zeros"",""resolution""]",ordinal,"{""min_samples_leaf"":5,""n_estimators"":200}",42,"KFold(5,seed=42)",168.8883,235.7029,105.7203,160.9707,13.0318,90.27,"exp01 baseline sweep, base feature families"
exp_0011,2026-09-16T04:53:08+00:00,ridge|onehot,"[""model_decomp"",""cpu_decomp"",""structural_zeros"",""resolution""]",onehot,"{""alpha"":10.0}",42,"KFold(5,seed=42)",216.9619,217.2403,143.629,144.0522,14.4298,53.59,exp04 additive specification scan
exp_0012,2026-09-16T04:53:45+00:00,ridge|onehot,"[""model_decomp"",""cpu_decomp"",""structural_zeros"",""resolution""]",onehot,"{""alpha"":100.0}",42,"KFold(5,seed=42)",217.0306,217.2535,143.648,144.0334,14.4274,37.0,exp04 additive specification scan
exp_0013,2026-09-16T04:54:01+00:00,et|ordinal,"[""model_decomp"",""cpu_decomp"",""structural_zeros"",""resolution""]",ordinal,"{""min_samples_leaf"":5,""n_estimators"":200}",42,"KFold(5,seed=42)",152.5153,235.9552,93.9312,161.0095,12.9594,85.67,"exp01 baseline sweep, base feature families"
